ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-10-19,5TDBSKFC7RS39E689,2024,Sienna LE,DealerHold,False,Factory to port,45316,Ruby Flare Pearl [extra_cost_color],Gray Woven Fabric,218,South Dade Toyota,https://www.southdadetoyota.com,True,50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | LE Plus Package: | Phone Cable Charge Package | Premium Paint | SET Digital Portfolio | TOYOGUARD Platinum
2024-10-26,5TDBSKFCXRS40D191,2024,Sienna LE,Available,False,Factory to port,43943,Blueprint,Gray Woven Fabric,75,Village Cadillac-Toyota,https://www.villagetoyota.com,False,50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | LE Plus Package: | Phone Cable Charge Package | Southeast Toyota Distributor
2024-09-24,5TDDRKEC0RS221257,2024,Sienna XSE,DealerHold,False,Port to dealer,49273,Celestial Silver Metallic,Gray Flannel + Black Embossed Softex® [softex],78,Gettel Stadium Toyota,https://www.stadiumtoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Mudguards | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
2024-10-22,5TDDRKEC1RS40D926,2024,Sienna XSE,Available,False,Factory to port,49093,Celestial Silver Metallic,Gray Flannel + Black Embossed Softex® [softex],181,AutoNation Toyota Weston,https://www.autonationtoyotaweston.com,True,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Mudguards | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
2024-10-19,5TDDRKEC2RS40D076,2024,Sienna XSE,Available,False,Factory to port,50569,Celestial Silver Metallic,Gray Flannel + Black Embossed Softex® [softex],123,Arlington Toyota,https://www.arlingtontoyota.com,True,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | SET Digital Portfolio | SmartLED Ambient Lighting | TOYOGUARD Platinum | XSE Plus Package:
2024-10-15,5TDDRKEC3RS39E307,2024,Sienna XSE,DealerHold,False,Factory to port,49313,Ice Cap,Moonstone + Grey Embossed Softex® [softex],180,Lipton Toyota,https://www.liptontoyota.com,True,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Illuminated Door Sills | Mudguards | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
2024-10-22,5TDDRKEC3RS40D992,2024,Sienna XSE,,False,Factory to port,49791,Cement,Moonstone + Grey Embossed Softex® [softex],17,Seminole Toyota,https://www.seminoletoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | Clear Paint Protection - Full Hood Package | Illuminated Door Sills | Mudguards | SET Digital Portfolio | XSE Plus Package:
2024-09-28,5TDDRKEC4RS219916,2024,Sienna XSE,DealerHold,False,Factory to port,49641,Cement,Moonstone + Grey Embossed Softex® [softex],91,Clearwater Toyota,https://www.clearwatertoyota.com,True,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
2024-09-23,5TDDRKEC4RS220371,2024,Sienna XSE,Available,False,Port to dealer,48844,Celestial Silver Metallic,Gray Flannel + Black Embossed Softex® [softex],209,West Kendall Toyota,https://www.westkendalltoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Mudguards | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
2024-10-16,5TDDRKEC4RS39D604,2024,Sienna XSE,DealerHold,False,Factory to port,49352,Ice Cap,Gray Flannel + Black Embossed Softex® [softex],151,Palm Beach Toyota,https://www.palmbeachtoyota.com,True,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | Mudguards | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
2024-10-21,5TDDRKEC5RS40D363,2024,Sienna XSE,Available,False,Factory to port,48574,Celestial Silver Metallic,Gray Flannel + Black Embossed Softex® [softex],192,Headquarter Toyota,https://www.headquartertoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Carpet Floor Mats | Mudguards | Southeast Toyota Distributor | XSE Plus Package:
2024-09-29,5TDDRKEC6RS221425,2024,Sienna XSE,Available,False,Factory to port,48145,Ice Cap,Gray Flannel + Black Embossed Softex® [softex],173,Toyota of Deerfield Beach,https://www.toyotaofdeerfieldbeach.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Mudguards | SET Digital Portfolio | XSE Plus Package:
2024-10-06,5TDDRKEC6RS38C331,2024,Sienna XSE,Available,False,Factory to port,49172,Ice Cap,Gray Flannel + Black Embossed Softex® [softex],173,Toyota of Deerfield Beach,https://www.toyotaofdeerfieldbeach.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | Clear Paint Protection - Door Package | Mudguards | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
2024-10-14,5TDDRKEC6RS39D779,2024,Sienna XSE,Available,False,Factory to port,50319,Blueprint,Moonstone + Grey Embossed Softex® [softex],166,Ed Morse Delray Toyota,https://www.delraytoyota.com,False,1500W Inverter with Two 120V AC Outlets | 50 State Emissions | 6-Gallons of Gas | All Weather Floor Mats | All Weather Tri-Fold Cargo Liner | Clear Paint Protection - Door Package | Illuminated Door Sills | Mudguards | Phone Cable Charge Package | SET Digital Portfolio | TOYOGUARD Platinum | XSE Plus Package:
